cluster_id,size,share,median_probability,mean_outlier_score,intra_cluster_cosine,representative_customer_message_ids
144,333,0.003574073477798886,0.6166638722907478,0.33138294107711297,0.3865765631198883,283945;385923;270640;764802;74746;2685341;737193;646732
145,305,0.0032735507829689497,0.9505449886911642,0.15658944313575693,0.44126641750335693,1136259;2819844;180066;1400656;2987674;226733;1003704;1498571
146,654,0.00701935151495637,0.9865059538626504,0.45231679622836174,0.5067905783653259,2135561;2925492;1258634;10637;1284853;2307825;2668735;2891848
147,38,0.0004078522286977708,1.0,0.0636505431653,0.612463116645813,1519864;886156;56853;555293;1247750;2320947;296413;1811238
148,74,0.0007942385506219746,0.70677941164098,0.2343018164631809,0.5439972877502441,339684;2176516;462560;1020161;1734586;2438442;2490624;2923495
149,40,0.00042931813547133764,1.0,0.07225259333409854,0.7243133783340454,1590613;2605671;2971893;936700;1227032;863824;2795350;458943
150,111,0.0011913578259329619,0.4851292920018625,0.4175944141355702,0.6518709659576416,1628973;1210986;945454;1173899;745043;590812;1892133;888235
151,129,0.001384550986895064,0.6937153445474878,0.2346514392872764,0.5530528426170349,517664;2623931;887992;136979;2590349;411444;465151;89319
152,50,0.0005366476693391721,1.0,0.024173574320279972,0.6112343072891235,627853;1015612;76068;275124;1197342;1482871;1501820;1645706
153,59,0.000633244249820223,1.0,0.08282046188030598,0.6208837032318115,626594;1731156;2352296;1687062;1838552;1691952;1665799;1707982
154,50,0.0005366476693391721,1.0,0.13035769164216574,0.5366417169570923,537522;1213448;145767;2850792;985500;378523;1556301;2504824
155,128,0.0013738180335082805,0.6537207121260984,0.2706349174400553,0.6025336980819702,99981;339146;284814;2889280;321141;345280;1083820;176442
156,1967,0.02111171931180303,1.0,0.402165977546041,0.44896942377090454,1192977;872656;349388;616998;449940;2297751;180911;2372148
157,324,0.003477476897317835,0.4490563556313738,0.44864929701639855,0.6053224802017212,77615;1387208;1456382;879265;285617;331312;1423034;1422835
158,37,0.0003971192753109873,1.0,0.012801200609248784,0.6972100138664246,983828;298436;1220884;301064;593372;856021;1274822;1511946
159,101,0.0010840282920651276,0.8820753507169221,0.15505213686473923,0.682263195514679,358856;980143;2176685;526597;2943275;388459;426330;1890575
160,33,0.00035418746176385356,1.0,0.0009050111656694206,0.5578426718711853,1446377;581182;96786;673211;274254;842212;29514;1137290
161,31,0.00033272155499028665,1.0,0.0004988068482288773,0.5914624333381653,1331203;2139301;1033093;1041126;2530738;1141880;932293;2919890
162,46,0.0004937158557920383,1.0,0.1267722896104062,0.5725821852684021,1665735;1356297;1404013;166489;255480;2693899;1305578;1599627
163,183,0.0019641304697813698,1.0,0.22699243439151012,0.5228881239891052,1046580;1224594;325839;2797173;2399406;629646;206180;2980964
164,40,0.00042931813547133764,1.0,0.0025943047924443757,0.5315584540367126,660946;1012796;420772;1374572;1648171;1740760;2764434;1150889
165,96,0.0010303635251312103,0.6536331998229417,0.23869841525367042,0.5050134658813477,282178;293247;985086;432951;1638598;2643615;233091;748761
166,30,0.00032198860160350323,1.0,0.0,0.5666269659996033,2123813;1041784;219168;482353;803024;2601445;842091;2800384
167,340,0.00364920415150637,0.30821108201783964,0.5523641153088088,0.5883227586746216,156688;1387349;2900951;390052;759732;1332645;19113;380229
168,181,0.001942664563007803,0.7490464440960605,0.2584122082246096,0.5127959251403809,803072;2776318;2486952;25254;245870;95363;479366;352076
169,155,0.0016636077749514334,0.8040053719407239,0.15103422928746282,0.486295610666275,1053594;1254127;1249705;2431098;2931410;1661475;921442;1168818
170,49,0.0005259147159523886,1.0,0.007666411005262427,0.4875698387622833,140939;3724;1570944;1320477;1459782;167910;2320773;108103
171,169,0.0018138691223664016,0.8110707344873577,0.1613101450328263,0.43858277797698975,2562185;895944;204996;998012;633574;282470;136863;622559
172,133,0.0014274828004421976,0.848015338964028,0.13593424257393463,0.5855593681335449,1261844;2754593;1939128;2805071;1414508;1312507;1105823;1090892
173,254,0.002726170160242994,1.0,0.08854743789768892,0.4472939670085907,2405232;812430;388000;2405231;2852128;1127362;927499;1406581
174,72,0.0007727726438484078,0.888098582341267,0.1229437415593426,0.5497550368309021,530005;930344;547946;2863459;438690;2318022;547950;734062
175,89,0.0009552328514237263,0.8424643510259224,0.13424682618621642,0.6408959627151489,910718;281019;2980878;2632930;91366;1247279;320339;2073928
176,189,0.0020285281901020703,0.8998977526233736,0.10500484995529179,0.5355635285377502,2192491;133742;2736293;1633265;2790590;2321150;1710802;448675
177,47,0.0005044488091788217,1.0,0.01792599540284985,0.54982990026474,666159;1420503;1756016;530842;1734548;753469;76009;2613222
178,84,0.0009015680844898091,0.8457297330230593,0.1755171821548462,0.646590530872345,1773522;2402330;421903;2492189;448304;1342557;1509882;2771673
179,113,0.001212823732706529,0.9213786563636757,0.08131937384140465,0.5076501369476318,21526;417246;2611554;139995;115877;972634;2469445;1181465
180,70,0.0007513067370748409,0.9529741854288147,0.0855264822031904,0.5332998633384705,507125;744115;838617;153679;2686406;2722368;1177639;2945493
181,373,0.004003391613270224,0.9614233344276828,0.2788925156349605,0.48160383105278015,1427852;1013777;2303884;2731137;1279799;972626;1959475;2954536
182,51,0.0005473806227259555,1.0,0.06503502564938327,0.5554856061935425,917016;324225;1206833;2230055;1127337;2956982;350292;2435971
183,112,0.0012020907793197455,0.94377955183064,0.06809815896985673,0.6546671986579895,191617;1607901;1080689;2832872;283531;2355282;985039;313896
184,1044,0.011205203335801913,1.0,0.4881497800937076,0.4785088896751404,448708;380786;2734289;2877789;2906703;2909255;279425;2273514
